DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2130648445650864256,10063343,286.46034,47.005887,13.1651,1.83798,8.1657597,-0.043002138,7.9939110,-31.301502,14.304290,0.337000,-32.5575,9.64732,4264.74,197.752,3.37583,0.627766,-1.11383,0.342738,0.0850749,0.152128
Gaia DR2 2130650232357293184,10063483,286.52393,47.052744,13.3956,1.19090,4.2619308,-0.96662559,-42.779221,0.0000000,NaN,28.9240,30.0812,4.11915,4892.18,23.3324,4.71356,0.0423005,-0.372647,0.0358042,0.123054,0.0128377
Gaia DR2 2130652667599403776,10063775,286.67167,47.072234,12.4354,0.807100,1.3055969,-6.9648466,-1.4780405,-23.421111,1.6540195,21.6200,-30.4799,4.70075,5781.28,22.1109,3.81454,0.0491152,-0.0252596,0.0323952,-0.0104673,0.0167954
Gaia DR2 2130646590225055488,10063806,286.68787,47.005968,12.9610,0.797904,1.8004717,-2.5069769,-1.9717238,0.0000000,NaN,21.6010,-5.71105,5.75002,5952.99,24.6718,4.34684,0.0552804,-0.0537705,0.0402246,0.0222774,0.0198261
Gaia DR2 2130652328301390080,10063898,286.74197,47.027073,14.1081,1.58662,4.1465577,-9.0040935,8.8689922,0.0000000,NaN,38.2910,-69.3090,3.69944,4463.73,22.2482,4.59813,0.0363802,-0.234299,0.0287390,0.148924,0.0103877
Gaia DR2 2130640061874830592,10064130,286.86454,47.023930,13.0721,0.839044,1.6908057,17.232747,4.6544913,0.0000000,NaN,5.38200,9.85118,6.88024,5542.77,25.2026,4.22461,0.0611830,-0.843574,0.0497490,0.145295,0.0158925
Gaia DR2 2130641878641569280,10064358,286.95979,47.064128,12.3869,0.910141,2.4114108,-5.2431332,0.77368012,-51.875668,1.7137218,16.5330,-65.9064,9.71328,5556.40,288.046,5.03918,0.475746,0.250396,0.288882,-0.0954330,0.148592
Gaia DR2 2130661536711402240,10064591,287.09417,47.075325,13.1939,0.816369,2.0575124,7.8974330,-8.5667312,0.0000000,NaN,6.59700,-3.09086,4.23007,5764.47,19.4227,4.41220,0.0385645,-0.147847,0.0326423,0.0432789,0.0137592
Gaia DR2 2130660918236130304,10064704,287.16098,47.071327,14.8272,1.38099,2.5354683,6.2201941,10.497844,0.0000000,NaN,35.3960,-46.6507,4.04120,4635.81,27.6108,4.54527,0.0509328,-0.336621,0.0360388,0.140094,0.0143230
Gaia DR2 2130662361345181184,10064860,287.25241,47.096795,15.2351,1.19319,1.4537908,1.4635478,0.053548439,0.0000000,NaN,31.9480,-51.8491,3.87032,4901.42,40.6496,4.56095,0.0788876,0.0843871,0.0511092,0.0226970,0.0265490
Gaia DR2 2130474035619821952,10065092,287.36963,47.068255,15.9053,1.81967,2.7386699,-0.90990480,-11.004512,0.0000000,NaN,23.4620,22.1846,2.23645,4306.24,77.3074,4.52194,0.175902,-0.799092,0.112300,0.150128,0.0527273
Gaia DR2 2130473692022443264,10065198,287.42534,47.039703,13.4285,1.00704,2.5500594,6.7240125,0.35076973,0.0000000,NaN,19.6290,-20.2300,3.45061,5331.82,21.8640,4.48565,0.0415852,0.121261,0.0286145,0.0202737,0.0116428
Gaia DR2 2130470530926717184,10065366,287.50781,47.019909,15.5238,1.28055,1.4293819,-5.0166517,-3.4549754,0.0000000,NaN,36.9020,-56.5409,3.71143,4706.19,61.7494,4.40315,0.109572,0.0341442,0.0698852,-0.00241933,0.0377926
Gaia DR2 2130476990557531008,10065425,287.53791,47.085358,15.2371,0.893055,0.78475278,-5.1341027,-4.7772062,0.0000000,NaN,8.41700,-57.5691,5.80098,5626.95,32.6398,4.26326,0.0694603,-0.162112,0.0492417,0.123163,0.0246031
